"","station","lat","lng","period1_2019","period2_2019","period1_2020","period2_2020","period1","period2","periodType1","periodType2"
"93","서대문",37.565773,126.966641,3893123,3418975,3272391,2730295,0.840556797203685,0.798571209207438,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"94","서초",37.491897,127.007917,4358338,4106305,3519571,3064043,0.807548886754538,0.746180081606213,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"95","석계",37.614805,127.065851,2246119,2292130,1820507,1885859,0.81051226582385,0.82275394502057,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"96","석촌",37.505431,127.106979,1367797,1536147,1095891,1237344,0.801208805107775,0.805485412528879,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"97","선릉",37.504503,127.049008,9028326,9794728,7705242,8267601,0.853451902379245,0.844086839369097,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"98","성수",37.544581,127.055961,6328339,6100325,5842984,5691381,0.923304519558766,0.932963571612988,"Type 1: Over 0.9","Type 1: Over 0.9"
"99","송정",37.561184,126.811973,1446500,1464927,943225,943933,0.652073971655721,0.644354974684745,"Type 4: Under 0.7","Type 4: Under 0.7"
"100","송파",37.499703,127.112183,1688242,1477603,1313879,1205154,0.778252762340944,0.815614207605155,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"101","수락산",37.67785,127.055315,2284101,2214191,1863864,1818299,0.816016454613872,0.82120241659369,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"102","수서",37.487371,127.10188,3024044,3236476,2360700,2509873,0.780643403336724,0.775495631668518,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"103","수진",37.437428,127.140722,912821,834398,719246,647791,0.787937613179364,0.776357325880455,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"104","시청",37.564718,126.977108,9748532,9843504,7922972,7126571,0.812734881518571,0.723987210245457,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"105","신금호",37.554548,127.020331,1235114,1115444,973606,905121,0.788272175685807,0.811444590674207,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"106","신길",37.517122,126.917169,749436,677264,692570,629032,0.924121606114465,0.928784048760897,"Type 1: Over 0.9","Type 1: Over 0.9"
"107","신답",37.57004,127.046481,325449,324349,267552,283628,0.822101158706894,0.874453135357285,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"108","신당",37.565972,127.01782,3776359,4137720,3007432,3235751,0.79638403022594,0.782013040998424,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"109","신대방",37.487462,126.913149,5084979,4563928,4127138,3764096,0.811633243716444,0.824749207261815,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"110","신대방삼거리",37.499701,126.928276,3168001,2784330,2599091,2354451,0.820419879917967,0.845607740461799,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"111","신도림",37.508725,126.891295,8211251,10539633,6430215,7804824,0.783098093092027,0.740521420432761,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"112","신림",37.484201,126.929715,11542013,11840478,9456819,9510960,0.819338792981779,0.80325811170799,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"113","신사",37.516334,127.020114,4336003,6897999,3705364,5291508,0.854557526828279,0.767107678618104,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"114","신설동",37.575297,127.025087,3227499,3500185,2509099,2619376,0.777412789283591,0.748353587024686,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"115","신용산",37.52917,126.967894,2921224,3428121,2432641,2683948,0.832747163517758,0.782921022916052,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"116","신정네거리",37.520074,126.852912,1724772,1787956,1430293,1484302,0.829264969514811,0.830166961603082,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"117","신중동",37.503048,126.77596,2590452,2703752,2151736,2201331,0.830641139075343,0.814176374164494,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"118","신촌",37.555134,126.936893,4913205,8673043,3489814,5403963,0.710292772233196,0.623075776287515,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"119","신풍",37.50008,126.90993,2088321,1954579,1747219,1615452,0.836662084037847,0.826496140601122,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"120","신흥",37.440918,127.147564,690129,872074,586711,686961,0.850146856602171,0.787732463070794,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"121","쌍문",37.648627,127.034709,5580335,4976922,4460657,4084857,0.799352906232332,0.820759698464231,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"122","아현",37.557345,126.956141,1730415,1744337,1364936,1357059,0.788791128139781,0.777979828439115,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"123","안국",37.576477,126.985443,3976275,4692432,2968649,3247159,0.746590464693715,0.691999159497676,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"124","암사",37.55021,127.127562,3530486,2909644,2990386,2506259,0.8470182292183,0.86136276465437,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"125","압구정",37.527072,127.028461,5376060,6411079,4423977,5043029,0.82290320420531,0.786611582855242,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"126","애오개",37.553736,126.95682,1436403,1262032,1167164,1028764,0.812560263380124,0.815164750180661,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"127","약수",37.55434,127.010655,2913402,3117092,2287710,2458583,0.785236640875513,0.7887425202721,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"128","양천구청",37.512398,126.865819,1349670,1236610,1051965,1013465,0.779423859165574,0.819551030640218,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"129","여의나루",37.527098,126.932901,1595286,2746690,1304745,1677334,0.817875290073379,0.610674666598706,"Type 2: 0.8 to 0.9","Type 4: Under 0.7"
"130","여의도",37.521624,126.924191,5579660,5339658,4904756,4484705,0.879042092170491,0.839886187467437,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"131","역삼",37.500622,127.036456,10163152,9646715,8599121,8025685,0.846107683915384,0.831960413467175,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"132","역촌",37.606021,126.922744,762791,733774,618788,598464,0.811215654091357,0.815597172971514,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"133","연신내",37.619001,126.921008,6649541,6794848,5283819,5465904,0.794614094416442,0.804418877361201,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"134","영등포구청",37.52497,126.895951,4945365,4832403,4372883,4241094,0.884238676012792,0.877636654062172,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"135","영등포시장",37.522669,126.905139,1625965,1847352,1370671,1414445,0.842989240235798,0.765660794477717,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"136","오금",37.502162,127.128111,2081693,1678818,1677289,1379369,0.805733122030962,0.821631052323718,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"137","옥수",37.540685,127.017965,1576569,1775246,1218732,1447567,0.773028012094618,0.815417694223786,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"138","용답",37.561904,127.050899,501695,477444,376105,388106,0.749668623366787,0.812882767403088,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"139","용마산",37.573647,127.086727,1212197,960927,172493,140925,0.142297827828315,0.146655261013584,"Type 4: Under 0.7","Type 4: Under 0.7"
"140","우장산",37.548768,126.836318,2734518,2525975,2043845,1951350,0.747424226134185,0.772513583863657,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"141","을지로3가",37.566295,126.99191,6152602,6845828,5107711,5286080,0.830170877297118,0.77216079632734,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"142","을지로4가",37.566941,126.998079,2875095,3362267,2781062,2954100,0.96729395028686,0.878603632608594,"Type 1: Over 0.9","Type 2: 0.8 to 0.9"
"143","을지로입구",37.566014,126.982618,8234675,9865370,6588179,6618018,0.800053311150713,0.670833227745133,"Type 2: 0.8 to 0.9","Type 4: Under 0.7"
"144","응암",37.598605,126.915577,3155062,3075714,2617437,2565711,0.829599228160968,0.834183867550754,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"145","이대",37.556733,126.946013,2344391,3412507,1439832,1832532,0.614160351238339,0.537004612737791,"Type 4: Under 0.7","Type 4: Under 0.7"
"146","이수",37.486263,126.981989,2471431,3092802,2018145,2476465,0.8165896599986,0.800718895034341,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"147","이태원",37.534488,126.994302,1443271,3316484,977979,1750845,0.677612866883628,0.527922040329457,"Type 4: Under 0.7","Type 4: Under 0.7"
"148","일원",37.483681,127.08439,1714242,1443848,1347506,1120673,0.786065211329556,0.776171037394518,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"149","잠실나루",37.520733,127.10379,2803230,2526594,2142761,1873129,0.764390007241646,0.741365252984848,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"150","잠실새내",37.511687,127.086162,3511644,4523336,2592118,3249449,0.738149425169522,0.718374447531645,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"151","잠원",37.512759,127.01122,1099674,1040646,781298,776942,0.710481469962916,0.746595864491864,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"152","장승배기",37.504898,126.93915,1909789,1749944,1517534,1386534,0.794608200172899,0.792330497433061,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"153","장암",37.700109,127.053196,494594,211594,409461,180929,0.827872962470228,0.855076230895016,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"154","장지",37.478703,127.126191,3209656,3304533,2589247,2582079,0.806705453793179,0.781374856901111,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"155","장한평",37.56144,127.064623,3518890,3536034,3051816,2894130,0.867266666477213,0.818467808850254,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"156","제기동",37.578103,127.034893,2392092,2676047,1905945,1880517,0.796769104198333,0.702721962656112,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"157","종각",37.570161,126.982923,6918140,8383324,5479012,5830949,0.791977612479655,0.695541410543121,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"158","종로3가",37.571607,126.991806,5938042,11120058,4673073,7404322,0.786972035563238,0.665852821990677,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"159","종로5가",37.570926,127.001849,3234832,4663031,2633334,3242464,0.814055876781236,0.695355445846275,"Type 2: 0.8 to 0.9","Type 4: Under 0.7"
"160","종합운동장",37.510997,127.073642,1860472,2547668,1128678,1170533,0.606662180349933,0.459452723039266,"Type 4: Under 0.7","Type 4: Under 0.7"
"161","중계",37.644583,127.064303,3028805,2323407,2292455,1797753,0.756884315761497,0.773757245286771,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"162","중곡",37.565923,127.08432,1901191,1603709,1546936,1317499,0.813666801494432,0.821532460066009,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"163","중화",37.602545,127.079264,2061118,1930546,1701037,1587495,0.825298211941286,0.822303638452541,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"164","지축",37.648048,126.913951,246353,233233,484946,449220,1.96850048507629,1.92605677584218,"Type 1: Over 0.9","Type 1: Over 0.9"
"165","창동",37.653166,127.047731,4573035,5052248,3535079,4029033,0.773026884771273,0.79747332276642,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"166","창신",37.579661,127.015241,757781,464461,583150,382042,0.769549513645763,0.822549148367678,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"167","천왕",37.486637,126.838713,1840033,1521314,1671093,1421755,0.908186429265127,0.934557231445974,"Type 1: Over 0.9","Type 1: Over 0.9"
"168","철산",37.47605,126.867911,4079108,4451094,3242627,3508255,0.794935314289301,0.788178142272439,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"169","청구",37.560245,127.013828,1552101,1357246,1271464,1136046,0.819188957419652,0.837022912574434,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"170","청담",37.519365,127.05335,4556460,3773320,3781637,3138994,0.829950663453646,0.831891808804978,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"171","춘의",37.503663,126.787036,1993694,1697045,1742192,1478782,0.873851253000711,0.87138643936961,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"172","충무로",37.561243,126.99428,5195606,5951926,4121887,4295268,0.793340950025849,0.721660181931025,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"173","태릉입구",37.617983,127.07512,2397156,2577074,1840910,2013517,0.767955861028652,0.781319046329287,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"174","하계",37.636352,127.06799,3319963,3080030,2588411,2368605,0.779650556346562,0.76902010694701,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"175","학동",37.514229,127.031656,4921540,4329828,4481822,3943448,0.910654388666962,0.91076319890767,"Type 1: Over 0.9","Type 1: Over 0.9"
"176","학여울",37.496663,127.070594,416422,419964,280345,283088,0.673223316731585,0.674076825632673,"Type 4: Under 0.7","Type 4: Under 0.7"
"177","한강진",37.539631,127.001725,1215530,1939082,1044208,1391658,0.859055720549884,0.7176890920549,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"178","한양대",37.555273,127.043655,1911747,1850573,1041580,1039819,0.544831507516424,0.561890290196604,"Type 4: Under 0.7","Type 4: Under 0.7"
"179","합정",37.549463,126.913739,6346060,9797373,5159356,7614685,0.81300145286997,0.77721701521418,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"180","행당",37.557322,127.029476,1599092,1313888,1275843,1084344,0.797854657518142,0.825294088993887,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"181","혜화",37.582336,127.001844,4470692,7715840,3288297,4878591,0.735523046544025,0.63228255121931,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"182","홍대입구",37.557192,126.925381,6531279,16135722,4652884,9515297,0.712400128673113,0.589703826082279,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"183","홍제",37.589066,126.943736,3211121,3102744,2471803,2442773,0.769763269587163,0.787294407788719,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"184","화곡",37.541513,126.840461,5361174,4987505,4371916,4086793,0.815477356265624,0.81940629633454,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"185","효창공원앞",37.539261,126.961351,1312519,1197606,1042173,989850,0.794025076970314,0.826523915210846,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
